M‚tier;Grand secteur;Nombre de projets;Nombre de projets difficiles;Nombre de projets saisonniers
Secr‚taires;Construction;2180;950;90
Secr‚taires;Commerce;5960;2460;480
Secr‚taires;Services aux entreprises;11540;4420;1230
Secr‚taires;Services aux particuliers;12450;3950;1750
Secr‚taires de direction;Agriculture;20;10;0
Secr‚taires de direction;Industrie;200;60;10
Secr‚taires de direction;Construction;470;170;30
Secr‚taires de direction;Commerce;430;220;20
Secr‚taires de direction;Services aux entreprises;2570;920;140
Secr‚taires de direction;Services aux particuliers;970;430;90
Techniciens de l'informatique;Agriculture;0;0;0
Techniciens de l'informatique;Industrie;590;300;0
Techniciens de l'informatique;Construction;510;350;20
Techniciens de l'informatique;Commerce;1340;740;50
Techniciens de l'informatique;Services aux entreprises;22530;13050;840
Techniciens de l'informatique;Services aux particuliers;1110;680;50
